Feature Name,Category,Target ETF(s),Variant Of,Concept / Source,Formula & Math,Microstructure Mechanism,Normalization Method,Causality Self-Test Result,Expected Correlation Sign
limit_up_proximity_early,early_bar,"588000, 159915",novel,Limit proximity. STAR50/ChiNext rules.,(max(high_i) - prev_close * 1.20) / (prev_close * 1.20) for i=[0..5],Retail panic buy near 20% limit. Magnet effect.,Range division.,Pass. Only bar 0-5. No look-ahead.,-
limit_down_proximity_early,early_bar,"588000, 159915",novel,Limit proximity. STAR50/ChiNext rules.,(min(low_i) - prev_close * 0.80) / (prev_close * 0.80) for i=[0..5],Panic selling near 20% limit. Magnet effect.,Range division.,Pass. Only bar 0-5. No look-ahead.,+
tech_value_rotation,day_level,all,novel,Growth vs Value. ChiNext vs CSI300.,close_159915[T-1] / close_300[T-1],Capital rotate into high-beta growth. Sentiment driver.,Ratio.,Pass. Shifted 1 day.,+
yesterday_limit_up_touch,yesterday,"588000, 159915",novel,Limit touch flag. STAR50/ChiNext rules.,1.0 if yesterday_high >= yesterday_prev_close * 1.199 else 0.0,Extreme sentiment yesterday. High momentum persist.,Binary flag.,Pass. Shifted 1 day.,+
limit_up_proximity_day,day_level,"588000, 159915",novel,Limit proximity. Daily close.,(close[T-1] - prev_close * 1.20) / (prev_close * 1.20),End of day limit buying. Carry-over next day.,Ratio.,Pass. Shifted 1 day.,+
limit_down_proximity_day,day_level,"588000, 159915",novel,Limit proximity. Daily close.,(close[T-1] - prev_close * 0.80) / (prev_close * 0.80),End of day limit selling. Panic carry-over next day.,Ratio.,Pass. Shifted 1 day.,-
yesterday_limit_down_touch,yesterday,"588000, 159915",novel,Limit touch flag. STAR50/ChiNext rules.,1.0 if yesterday_low <= yesterday_prev_close * 0.801 else 0.0,Extreme panic yesterday. Continuation down.,Binary flag.,Pass. Shifted 1 day.,-
growth_momentum_ratio,day_level,"588000, 159915",novel,Tech vs Large cap momentum. ROC ratio.,"roc(close_588000, 10)[T-1] - roc(close_300, 10)[T-1]",Tech momentum lead show retail liquidity surge.,Subtract ROC.,Pass. Shifted 1 day.,+
high_beta_vol_ratio,day_level,"588000, 159915",novel,Volatility ratio. High beta vs broad market.,vol20_588000[T-1] / vol20_300[T-1],Relative risk appetite in speculative stocks.,Ratio.,Pass. Shifted 1 day.,+
retail_turnover_acceleration,day_level,"588000, 159915",novel,Turnover rate change. Growth sector retail flow.,"turnover_rate[T-1] / sma(turnover_rate, 20)[T-1]",Speculative retail volume expansion. Momentum amplifier.,Ratio.,Pass. Shifted 1 day.,+
morning_hhi_persistence,early_bar,all,intraday_autocorr,Direction HHI. Intraday trend persistence.,"signs = sign(C_i - O_i) for i=[0..5]; HHI = sum((count(s)/6)^2 for s in [+1,-1])",High direction concentration in early session implies trend persistence.,HHI formula.,Pass. Only bar 0-5. No look-ahead.,+
yesterday_afternoon_reversal,yesterday,all,yesterday_pm_return,Afternoon reversal. PM vs AM return.,(close_1500[T-1] - close_1300[T-1]) - (close_1130[T-1] - open_0930[T-1]),PM institutional flow fade morning retail trend. Reverse sentiment.,Difference.,Pass. Shifted 1 day.,-
yesterday_lunch_gap_pct,yesterday,all,yesterday_gap_pct,Lunch gap. 11:30 close to 13:00 open.,(open_1300[T-1] - close_1130[T-1]) / close_1130[T-1],Overnight/midday news absorb during trading halt.,Percentage.,Pass. Shifted 1 day.,+
yesterday_pm_am_vol_ratio,yesterday,all,yesterday_day_pm_am_vol_ratio,Intraday volume block. PM vs AM volume.,sum(V_pm[T-1]) / sum(V_am[T-1]),High PM volume show institutional participation late day.,Ratio.,Pass. Shifted 1 day.,+
morning_trend_extrapolated,early_bar,all,early_trend,OLS trend projection. Intraday support.,slope(close[0..5]) * 42 + intercept(close[0..5]),Linear extrapolation of early trend set floor/ceiling target.,ATR division.,Pass. Only bar 0-5. No look-ahead.,+
yesterday_afternoon_momentum,yesterday,all,yesterday_pm_return,PM session return. 13:00 to 14:35.,log(close_1435[T-1] / open_1300[T-1]),Yesterday PM momentum carry over today morning open.,Log return.,Pass. Shifted 1 day.,+
early_bar_hhi_volume,early_bar,all,volume_concentration,Volume HHI. Intraday activity concentration.,sum((V_i / sum(V_j for j=[0..5]))^2 for i=[0..5]),Concentrated volume first few bars signal block auction imbalance.,HHI formula.,Pass. Only bar 0-5. No look-ahead.,-
midday_liquidity_fade,yesterday,all,yesterday_day_pm_am_vol_ratio,Lunch transition liquidity decay.,(V_1125[T-1] + V_1305[T-1]) / mean(V[T-1]),High liquidity fade show lack of institutional commitment.,Ratio.,Pass. Shifted 1 day.,-
morning_mean_reversion_score,early_bar,all,intraday_autocorr,Early bar reversion index.,sum(sign(C_i - C_{i-1}) * sign(C_{i-1} - C_{i-2}) for i=[2..5]) / 4,Frequent sign flips early bars show range bound chop.,"Bounded [-1, 1].",Pass. Only bar 0-5. No look-ahead.,-
yesterday_midday_drawdown,yesterday,all,novel,Midday max drawdown of yesterday.,(min(low[T-1]) - open[T-1]) / open[T-1],Midday shakeout show stop sweep. Negative carry-over.,Percentage.,Pass. Shifted 1 day.,-
vix_skew_proxy,day_level,"300, 500",novel,Skewness proxy. VIX daily return.,(vix_close[T-1] - vix_open[T-1]) / vix_open[T-1],Fear index escalation. Predict hedging demand and downside.,Ratio.,Pass. Shifted 1 day.,-
iv_term_structure,day_level,"300, 500",vix_iv_ratio,IV term structure. Near vs next month.,iv_near_month[T-1] / iv_next_month[T-1],Near-month spike show immediate panic hedging. Bearish indicator.,Ratio.,Pass. Shifted 1 day.,-
vix_rolling_percentile_60d,day_level,"300, 500",vix_vol_ratio,VIX historical rank.,rank(vix[T-1] in vix[T-60..T-1]) / 60,High rank implies peak fear. Institutional hedging climax.,Percentile.,Pass. Shifted 1 day.,-
iv_corridor_width,day_level,"300, 500",iv_vol_ratio,IV corridor. Volatility dispersion.,(iv_upper_90[T-1] - iv_lower_10[T-1]) / iv[T-1],Implied volatility dispersion reflect market indecision.,Ratio.,Pass. Shifted 1 day.,-
yesterday_vix_early_drift,yesterday,"300, 500",vix_diff_1d,Yesterday early VIX drift. 9:30 to 10:00.,vix_1000[T-1] - vix_prev_close[T-1],Opening panic yesterday drive negative sentiment carry-over.,Difference.,Pass. Shifted 1 day.,-
vix_realized_spread,day_level,"300, 500",vix_vol_ratio,IV premium. VIX minus realized vol.,vix[T-1] - vol20[T-1],Positive spread show expensive options. Market expect mean-revert.,Difference.,Pass. Shifted 1 day.,+
iv_acceleration_1d,day_level,"300, 500",iv_diff_1d,IV acceleration. Rate of change of IV change.,(iv[T-1] - iv[T-2]) - (iv[T-2] - iv[T-3]),Accelerating implied volatility show sudden hedging panic.,Difference.,Pass. Shifted 1 day.,-
option_volume_pc_ratio,day_level,"300, 500",novel,Put-Call Volume Ratio. Option sentiment.,put_volume[T-1] / call_volume[T-1],High put-call ratio show protective put buy. Bearish sentiment.,Ratio.,Pass. Shifted 1 day.,-
option_oi_growth,day_level,"300, 500",novel,Open Interest change. Option liquidity flow.,(oi[T-1] - oi[T-2]) / oi[T-2],Growing open interest show institutional position build.,Percentage.,Pass. Shifted 1 day.,+
iv_envelope_deviation,day_level,"300, 500",iv_vol_ratio,IV distance from mean. Mean reversion indicator.,"(iv[T-1] - sma(iv, 20)[T-1]) / sma(iv, 20)[T-1]","Overextended IV tend to revert, signal calm market.",Ratio.,Pass. Shifted 1 day.,+
