"name","category","source","concept","formula","input_data","signal_direction","rationale","normalization","limitation","related_existing"
"opening_gap_reversal","early_bar","Brooks","Gap reversal (Ch6)","let p=close[T-1]; g=(O0-p)/p; u=max(0,O0-min(L0,L1))/(g*p+1e-8) if g>0.002 else 0; d=max(0,max(H0,H1)-O0)/(-g*p+1e-8) if g<-0.002 else 0; r=u-d","OHLC bars[0..1]; prev daily close","Negative; high=fade gap up; low=fade gap down","Institutional absorption at open; mean-revert to VWAP by 14:30","Bounded [-1,1]","Unreliable thin-volume sessions; >=2 bars","gap_pct;yesterday_gap_pct;early_return"
"spike_exhaustion_ratio","early_bar","Brooks","Spike then weak channel","body=abs(C-O)/(H-L+1e-8); spike=max(body0,body1); ch=mean(body_i i=2..D); r=spike/(ch+1e-8)-1","OHLC bars[0..D]","Negative when positive; high=unsustainable spike","Aggressive open without follow-through leaves supply/demand vacuum","Divide by early_realized_vol or ATR(20)","Sensitive to outliers; fails in genuine trend starts","bar_body_rng_i;path_length;early_return"
"barbed_wire_intensity","early_bar","Brooks","Tight overlapping bars with tails","seq=longest >=3 bars where H_i<=H_{i-1}+eps and L_i>=L_{i-1}-eps; doji=sum(abs(O-C)<0.2*(H-L+1e-8) for b in seq); tail=mean((H-max(O,C)+min(O,C)-L)/(H-L+1e-8) for b in seq); r=len(seq)*doji*tail/(D+1)","OHLC bars[0..D]","Negative; high=equilibrium; low-volatility drift","Overlapping bars + long tails + small bodies = indecision; range stays tight","Already [0,1]","Rare high-vol days; >=3 bars needed","cl_pos_in_range;early_realized_vol;bar_body_rng_i"
"wedge_open_flag","early_bar","Brooks","Three-push wedge (High3/Low3)","ph=i where H_i>H_{i-1} and H_i>H_{i+1}; pl=i where L_i<L_{i-1} and L_i<L_{i+1}; r=-1 if 3 ph descending else +1 if 3 pl ascending else 0","OHLC bars[0..D]","Positive; detected wedge flag predicts trend resumption","Three-push wedges = mechanical pullback; fade gets stopped out; afternoon acceleration","Discrete [-1,0,+1]","Unreliable <5 bars; nested wedges fail","early_return;bar_body_rng_i;cl_pos_in_range"
"inside_bar_compression","early_bar","Brooks","Consecutive inside bars (ii/iii)","inside=bars where H_i<=H_{i-1} and L_i>=L_{i-1}; r=1-mean(H-L for i in inside)/mean(H-L for all)","OHLC bars[0..D]","Volatility conditioner; high compression = larger afternoon range","Inside bars = coiling; coil break sweeps opening-range extremes before settling","Already [0,1]","Directional sign needs interaction with breakout direction","early_realized_vol;path_length;vol_slope"
"volume_climax_exhaustion","early_bar","Brooks","Climax volume on reversal bar","ev=sma_vol_daily[T-1]/48; vr=max(V_i/ev); pb=argmax(vr); rev=1-2*abs(C_pb-(H_pb+L_pb)/2)/(H_pb-L_pb+1e-8); r=max(vr-1,0)*rev","OHLCV bars[0..D]; Index daily volume T-1","Negative; high=volume climax + reversal = mean-revert","One-sided flow exhausts quickly; equilibrium creates session-wide range","Winsorize 99th then min-max [0,1]","Sensitive to rebalance/corporate action days","vol_ratio;vol_slope;vol_clustered_ratio"
"twenty_gap_bars_regime","day_level","Brooks","20-EMA gap-bar streak (Ch13)","e=ema(close_daily,20,T-252..T-1); bull=count consecutive close>e ending T-1; bear=count consecutive close<e ending T-1; r=(bull-bear)/20 clip [-1,1]","Daily Index OHLC T-252..T-1","Positive; long streak = dip-buying floor; short streak = fade","Prolonged separation builds institutional trend-following adds; floor persists intraday","Divided by 20; winsorized [-1,1]","Slow-changing; near-zero variance flat markets; >=60 days history","sma_dists;rsi"
"measured_move_proximity","day_level","Brooks","Measured move target proximity (Ch7)","H=last swing high (2-bar pivot) before T-2; L=last swing low before T-2; if last leg up: tgt=H+(H-L) else tgt=L-(L-H); r=clip((close[T-1]-tgt)/atr_daily(14),-2,2)","Daily Index OHLC T-252..T-1","Negative when r>1 overshoot; positive when r<-1 undershoot","Algorithmic profit-taking at measured targets; trend pauses/pullbacks spill into next day","Divided by 14-day ATR; winsorized [-2,2]","Swing detection noisy; needs clear recent leg","bollinger_pct_b;rsi;realized_vol_20d"
"first_bar_sentiment","early_bar","Generic","First bar direction","r=sign(C0-O0)","OHLC bar0 only","Contextual; positive = bullish open bias; negative = bearish","First bar captures overnight sentiment and initial auction imbalance","Already [-1,0,+1]","Weak standalone; needs conditioning","early_return;gap_pct"
"opening_range_size","early_bar","Generic","First bar range normalized","r=(H0-L0)/prev_c","OHLC bar0; prev daily close","Positive; larger range = higher uncertainty/volatility regime","Opening range reflects overnight information absorption and liquidity provision","Divided by prior close","Wide in high-vol events; narrow in low-vol","early_range"
"or_fill_ratio","early_bar","Generic","Close position within opening range","r=(C_D-L0)/(H0-L0+1e-8) where or_low=L0 or_high=H0","OHLC bars[0..D]","Contextual; near 1 = strong bullish; near 0 = strong bearish","Where price closes relative to opening auction range indicates conviction","Already [0,1]","Depends on range width; narrow ranges meaningless","cl_pos_in_range"
"intraday_bullish_fvg","early_bar","Generic/FVG","Bullish Fair Value Gap","r=max(0,max(L_{i-1}-H_{i-2} for i in [2..D]))","OHLC bars[0..D]","Positive; larger gap = stronger supply-demand imbalance","Unfilled bullish gap = institutional demand exceeded supply; price tends to retest/retrace","Min-max scale across training days","Requires >=3 bars; gaps may fill intraday","gap_pct"
"intraday_bearish_fvg","early_bar","Generic/FVG","Bearish Fair Value Gap","r=max(0,max(L_{i-2}-H_{i-1} for i in [2..D]))","OHLC bars[0..D]","Negative; larger gap = stronger bearish imbalance","Unfilled bearish gap = institutional supply excess; price tends to retest upside","Min-max scale across training days","Requires >=3 bars; gaps may fill intraday","gap_pct"
"inside_bar_failure_bull","early_bar","Generic/IB","Inside bar breakout above (failure)","r=sum(1 for i in [0..D-2] where H_i<=H_{i-1} and L_i>=L_{i-1} and H_{i+1}>H_i and C_{i+1}>L_i)","OHLC bars[0..D]","Positive; count of failed inside bars to upside","Inside bar = balance; failure to upside signals absorption of selling; continuation up","Integer count; cap at 3","Low-frequency; choppy markets produce many false failures","inside_bar_compression"
"inside_bar_failure_bear","early_bar","Generic/IB","Inside bar breakout below (failure)","r=sum(1 for i in [0..D-2] where H_i<=H_{i-1} and L_i>=L_{i-1} and L_{i+1}<L_i and C_{i+1}<H_i)","OHLC bars[0..D]","Negative; count of failed inside bars to downside","Failure breakdown signals absorption of buying; continuation down","Integer count; cap at 3","Low-frequency; choppy markets produce many false failures","inside_bar_compression"
"early_bullish_hammer","early_bar","Generic/Chao","Bullish hammer in opening bars","body=abs(C-O); lower=min(O,C)-L; upper=H-max(O,C); r=max(lower/(body+1e-8) for i in [0..D] if lower>2*body and upper<body and C>O)","OHLC bars[0..D]","Positive; hammer = buying rejection at lows; afternoon bounce","Long lower shadow shows limit bids absorbing selling pressure near session low","Winsorize 99th then [0,1]","Requires significant range; weak in strong downtrends","lower_shadow_rejection;upper_shadow_rejection"
"early_bearish_shooting_star","early_bar","Generic/Chao","Bearish shooting star in opening bars","body=abs(C-O); upper=H-max(O,C); lower=min(O,C)-L; r=max(upper/(body+1e-8) for i in [0..D] if upper>2*body and lower<body and C<O)","OHLC bars[0..D]","Negative; star = selling rejection at highs; afternoon fade","Long upper shadow shows limit offers absorbing buying pressure near session high","Winsorize 99th then [0,1]","Requires significant range; weak in strong uptrends","upper_shadow_rejection;lower_shadow_rejection"
"early_doji_count","early_bar","Generic/Chao","Doji bars in opening session","r=sum(1 for i in [0..D] if abs(C-O)<0.1*(H-L+1e-8))","OHLC bars[0..D]","Negative; more dojis = indecision; narrow range drift","Doji bars reflect equilibrium; high doji count = no net commitment; mean-reversion","Already count; divide by (D+1) for ratio","Rare in high-volatility regimes","cl_pos_in_range;bar_body_rng_i"
"consecutive_up_closes","early_bar","Generic","Max consecutive up closes","up=0; r=max(up_i where up_i=(C_i>C_{i-1})?nz(up_{i-1})+1:0 for i in [0..D]) with up0=1","OHLC bars[0..D]","Positive; long streak = momentum continuation into afternoon","Consecutive up closes indicate sustained buying pressure; trend-following algos add longs","Divide by (D+1) for ratio","Weak standalone; needs trend regime filter","early_return;path_length"
"consecutive_down_closes","early_bar","Generic","Max consecutive down closes","dn=0; r=max(dn_i where dn_i=(C_i<C_{i-1})?nz(dn_{i-1})+1:0 for i in [0..D]) with dn0=1","OHLC bars[0..D]","Negative; long streak = momentum continuation down","Consecutive down closes indicate sustained selling; trend-following algos add shorts","Divide by (D+1) for ratio","Weak standalone; needs trend regime filter","early_return;path_length"
"shark_32_signal","early_bar","Generic/E9","Expanding highs+lows (Shark-32)","r=1 if exists i in [0..D-2] where L_{i+2}<L_{i+1}<L_i and H_{i+2}>H_{i+1}>H_i else 0","OHLC bars[0..D]","Binary; breakout of locked pattern high/low predicts direction","Three-bar expanding volatility pattern defines key support/resistance for breakout","Already [0,1]","Requires >=3 bars; false breaks in chop","wedge_open_flag;range_expansion_ratio"
